Row ID,Ship Mode,Customer ID,Customer Name,Country,City,Postal Code,Product ID,Category,Product Name,Sales Price
1,Second Class,CG-12520,Claire Gute,United States,Henderson,42420,FUR-BO-10001798,Furniture,Bush Somerset Collection Bookcase,261.96
2,Second Class,CG-12520,Claire Gute,United States,Henderson,42420,FUR-CH-10000454,Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94
3,Second Class,DV-13045,Darrin Van Huff,United States,Los Angeles,90036,OFF-LA-10000240,Office Supplies,Self-Adhesive Address Labels for Typewriters by Universal,14.62
4,Standard Class,SO-20335,Sean O'Donnell,United States,Fort Lauderdale,33311,FUR-TA-10000577,Furniture,Bretford CR4500 Series Slim Rectangular Table,957.5775
5,Standard Class,SO-20335,Sean O'Donnell,United States,Fort Lauderdale,33311,OFF-ST-10000760,Office Supplies,Eldon Fold 'N Roll Cart System,22.368
6,Standard Class,BH-11710,Brosina Hoffman,United States,Los Angeles,90032,FUR-FU-10001487,Furniture,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86
7,Standard Class,BH-11710,Brosina Hoffman,United States,Los Angeles,90032,OFF-AR-10002833,Office Supplies,Newell 322,7.28
8,Standard Class,BH-11710,Brosina Hoffman,United States,Los Angeles,90032,TEC-PH-10002275,Technology,Mitel 5320 IP Phone VoIP phone,907.152
9,Standard Class,BH-11710,Brosina Hoffman,United States,Los Angeles,90032,OFF-BI-10003910,Office Supplies,DXL Angle-View Binders with Locking Rings by Samsill,18.504
10,Standard Class,BH-11710,Brosina Hoffman,United States,Los Angeles,90032,OFF-AP-10002892,Office Supplies,Belkin F5C206VTEL 6 Outlet Surge,114.9
11,Standard Class,BH-11710,Brosina Hoffman,United States,Los Angeles,90032,FUR-TA-10001539,Furniture,Chromcraft Rectangular Conference Tables,1706.184
12,Standard Class,BH-11710,Brosina Hoffman,United States,Los Angeles,90032,TEC-PH-10002033,Technology,Konftel 250 Conference phone - Charcoal black,911.424
13,Standard Class,AA-10480,Andrew Allen,United States,Concord,28027,OFF-PA-10002365,Office Supplies,Xerox 1967,15.552
14,Standard Class,IM-15070,Irene Maddox,United States,Seattle,98103,OFF-BI-10003656,Office Supplies,Fellowes PB200 Plastic Comb Binding Machine,407.976
15,Standard Class,HP-14815,Harold Pawlan,United States,Fort Worth,76106,OFF-AP-10002311,Office Supplies,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81
16,Standard Class,HP-14815,Harold Pawlan,United States,Fort Worth,76106,OFF-BI-10000756,Office Supplies,Storex DuraTech Recycled Plastic Frosted Binders,2.544
17,Standard Class,PK-19075,Pete Kriz,United States,Madison,53711,OFF-ST-10004186,Office Supplies,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88
18,Second Class,AG-10270,Alejandro Grove,United States,West Jordan,84084,OFF-ST-10000107,Office Supplies,Fellowes Super Stor/Drawer,55.5
19,Second Class,ZD-21925,Zuschuss Donatelli,United States,San Francisco,94109,OFF-AR-10003056,Office Supplies,Newell 341,8.56
20,Second Class,ZD-21925,Zuschuss Donatelli,United States,San Francisco,94109,TEC-PH-10001949,Technology,Cisco SPA 501G IP Phone,213.48
21,Second Class,ZD-21925,Zuschuss Donatelli,United States,San Francisco,94109,OFF-BI-10002215,Office Supplies,"Wilson Jones Hanging View Binder, White, 1""",22.72
22,Standard Class,KB-16585,Ken Black,United States,Fremont,68025,OFF-AR-10000246,Office Supplies,Newell 318,19.46
23,Standard Class,KB-16585,Ken Black,United States,Fremont,68025,OFF-AP-10001492,Office Supplies,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34
24,Second Class,SF-20065,Sandra Flanagan,United States,Philadelphia,19140,FUR-CH-10002774,Furniture,"Global Deluxe Stacking Chair, Gray",71.372
25,Standard Class,EB-13870,Emily Burns,United States,Orem,84057,FUR-TA-10000577,Furniture,Bretford CR4500 Series Slim Rectangular Table,1044.63
26,Second Class,EH-13945,Eric Hoffmann,United States,Los Angeles,90049,OFF-BI-10001634,Office Supplies,Wilson Jones Active Use Binders,11.648
27,Second Class,EH-13945,Eric Hoffmann,United States,Los Angeles,90049,TEC-AC-10003027,Technology,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57
28,Standard Class,TB-21520,Tracy Blumstein,United States,Philadelphia,19140,FUR-BO-10004834,Furniture,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43
29,Standard Class,TB-21520,Tracy Blumstein,United States,Philadelphia,19140,OFF-BI-10000474,Office Supplies,Avery Recycled Flexi-View Covers for Binding Systems,9.618
30,Standard Class,TB-21520,Tracy Blumstein,United States,Philadelphia,19140,FUR-FU-10004848,Furniture,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2
31,Standard Class,TB-21520,Tracy Blumstein,United States,Philadelphia,19140,OFF-EN-10001509,Office Supplies,Poly String Tie Envelopes,3.264
32,Standard Class,TB-21520,Tracy Blumstein,United States,Philadelphia,19140,OFF-AR-10004042,Office Supplies,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304
33,Standard Class,TB-21520,Tracy Blumstein,United States,Philadelphia,19140,OFF-BI-10001525,Office Supplies,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858
34,Standard Class,TB-21520,Tracy Blumstein,United States,Philadelphia,19140,OFF-AR-10001683,Office Supplies,Lumber Crayons,15.76
35,Second Class,MA-17560,Matt Abelman,United States,Houston,77095,OFF-PA-10000249,Office Supplies,Easy-staple paper,29.472
36,First Class,GH-14485,Gene Hale,United States,Richardson,75080,TEC-PH-10004977,Technology,GE 30524EE4,1097.544
37,First Class,GH-14485,Gene Hale,United States,Richardson,75080,FUR-FU-10003664,Furniture,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92
38,Standard Class,SN-20710,Steve Nguyen,United States,Houston,77041,OFF-EN-10002986,Office Supplies,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328
39,Standard Class,SN-20710,Steve Nguyen,United States,Houston,77041,FUR-BO-10002545,Furniture,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992
40,Standard Class,SN-20710,Steve Nguyen,United States,Houston,77041,FUR-CH-10004218,Furniture,"Global Fabric Manager's Chair, Dark Gray",212.058
41,Standard Class,SN-20710,Steve Nguyen,United States,Houston,77041,TEC-PH-10000486,Technology,Plantronics HL10 Handset Lifter,371.168
42,Standard Class,LC-16930,Linda Cazamias,United States,Naperville,60540,TEC-PH-10004093,Technology,Panasonic Kx-TS550,147.168
43,Standard Class,RA-19885,Ruben Ausman,United States,Los Angeles,90049,OFF-ST-10003479,Office Supplies,"Eldon Base for stackable storage shelf, platinum",77.88
44,Standard Class,ES-14080,Erin Smith,United States,Melbourne,32935,OFF-ST-10003282,Office Supplies,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616
45,First Class,ON-18715,Odella Nelson,United States,Eagan,55122,TEC-AC-10000171,Technology,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98
46,First Class,ON-18715,Odella Nelson,United States,Eagan,55122,OFF-BI-10003291,Office Supplies,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46
47,Second Class,PO-18865,Patrick O'Donnell,United States,Westland,48185,OFF-ST-10001713,Office Supplies,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96
48,Standard Class,LH-16900,Lena Hernandez,United States,Dover,19901,TEC-AC-10002167,Technology,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45
